Type,Name,Longitude,Latitude
Supermarkets,Min Købmand Møldrup,9.5012513,56.6158638
Supermarkets,ICA Nära City,12.6911044,56.0491173
Supermarkets,Hemmahallen,14.2229715,57.7798120
Supermarkets,Meny Svogerslev,12.0162396,55.6333957
Supermarkets,Rema 1000 Frederiksgade,10.2025790,56.1535184
Supermarkets,Biskopsgårdens Orientlivs,11.8951962,57.7233675
Supermarkets,Coop Kyrkbytorget,11.9067968,57.7115744
Supermarkets,Coop Hovslätt,14.1188167,57.7292149
Supermarkets,Meny Naksov,11.1372832,54.8290196
Supermarkets,PENNY,8.8327490,54.7863572
Supermarkets,EDEKA Center Otto,9.9292880,54.6673347
Supermarkets,Hemköp Kullavik C,11.9466618,57.5468073
Supermarkets,SuperBrugsen Trekroner,12.1316030,55.6485979
Supermarkets,Alfo Gross,12.7033204,56.0378014
Supermarkets,Ekohallen,13.0477175,55.5668620
Supermarkets,Willys Hemma Malmö Möllevången,13.0080658,55.5896711
Supermarkets,SuperBrugsen Ringe,10.4802484,55.2374881
Supermarkets,Coop Kornettsgatan,13.0117354,55.6003679
Supermarkets,Mathallen Lugnet,13.0056960,55.5977410
Supermarkets,Hemköp Bollebygd,12.5695595,57.6679306
Supermarkets,Hedebo super,10.5112766,57.3551863
Supermarkets,Kaufhaus Bendixen,8.3555138,54.6517207
Supermarkets,Grenzhandel,9.0774519,54.8673890
Supermarkets,Bio-Düne der Bioladen auf Amrum,8.3937577,54.6268904
Supermarkets,Börjes,14.9782720,56.5243753
Supermarkets,Tynnereds lågpris,11.8968357,57.6446982
Supermarkets,SuperBrugsen Skagen,10.5908408,57.7229127
Supermarkets,Hemköp Göteborg Guldheden,11.9716879,57.6840119
Supermarkets,Min Købmand Jerlev,9.4360009,55.6728233
Supermarkets,Kooperativet,10.5848787,56.2848025
Supermarkets,Meny Saltum,9.6974561,57.2729350
Supermarkets,Hemköp Helsingborg Stattena,12.7010000,56.0571000
Supermarkets,ICA Nära Ryssby,14.1652830,56.8642240
Supermarkets,ICA Nära Rydaholm,14.3084807,56.9844105
Supermarkets,Coop Nybrovägen,12.8580667,56.2487811
Supermarkets,Meny Fjerritslev,9.2670655,57.0871793
Supermarkets,Gudme Købmandsbutik,10.7045305,55.1532405
Supermarkets,ICA Nära Björnen,12.7181505,56.0472169
Supermarkets,SuperBrugsen Humlebæk,12.5309910,55.9639522
Supermarkets,Rema 1000 Jyllingvej,12.4821596,55.6916158
Supermarkets,Willys Borås Knalleland,12.9339942,57.7317832
Supermarkets,Basalt,12.3910356,55.6657373
Supermarkets,Den Vietnamesiske Købmand,12.6069427,55.6611129
Supermarkets,denn's Biomarkt,8.3289259,54.9021488
Supermarkets,Brugsen Østerbrogade 52,12.5796061,55.6972519
Supermarkets,Coop Friggagatan,11.9864403,57.7106540
Supermarkets,Rema 1000 Fløng,12.1834632,55.6600681
Supermarkets,MENY Espergærde,12.5460476,55.9947305
Supermarkets,365 Discount Espergærde Center,12.5464097,55.9953755
Supermarkets,Coop Malmö Central,12.9994913,55.6092142
Supermarkets,EDEKA Jensen,9.5616262,54.5153836
Supermarkets,EKO Stormarknad,14.3119377,56.0400634
Supermarkets,Maxi ICA Stormarknad Råå,12.7452179,56.0022875
Supermarkets,Xtra,13.7042824,55.6292933
Supermarkets,Tempo Blentarp,13.6022775,55.5834867
Supermarkets,Meny Kennedy Arkaden,9.9192602,57.0421439
Supermarkets,Willys Göteborg Hvitfeldtsplatsen,11.9609108,57.7014443
Supermarkets,Willys Hemma Helsingborg,12.7268470,56.0500665
Supermarkets,Coop Värpinge,13.1600276,55.7038466
