Type,Name,Longitude,Latitude
Public Transport Stations,Hjarnø Færgehavn,10.0640767,55.8225670
Public Transport Stations,Henne,8.3043317,55.7103473
Public Transport Stations,Älmhults busstation (Stationen),14.1374649,56.5506031
Public Transport Stations,Nordre Toldbod,12.5996322,55.6881724
Public Transport Stations,Nödinge,12.0433060,57.8931550
Public Transport Stations,Färja till Tjärö,15.0727379,56.1814791
Public Transport Stations,Västra Ingelstad,13.1079497,55.4902567
Public Transport Stations,Bodafors,14.6947396,57.5060923
Public Transport Stations,Taulov,9.6156777,55.5448879
Public Transport Stations,Høng,11.2857780,55.5069459
Public Transport Stations,Thyborøn Kirke,8.2069903,56.6981955
Public Transport Stations,Grønnehave,12.6110689,56.0401889
Public Transport Stations,Hornbæk,12.4597507,56.0891468
Public Transport Stations,Pårup,12.3013937,56.1007761
Public Transport Stations,Horneby Sand,12.4353091,56.0899180
Public Transport Stations,Kildekrog,12.4236891,56.0926327
Public Transport Stations,Saunte,12.4855689,56.0770008
Public Transport Stations,Græsted,12.2867797,56.0728918
Public Transport Stations,Slotspavillonen,12.3111932,55.9425356
Public Transport Stations,Mårum,12.3172416,56.0306161
Public Transport Stations,Skibstrup,12.5131402,56.0783894
Public Transport Stations,Karinebæk,12.4686067,56.0829775
Public Transport Stations,Grønholt,12.3694427,55.9531826
Public Transport Stations,Mørdrup,12.5327463,56.0021658
Public Transport Stations,Saltrup,12.3218282,56.0544090
Public Transport Stations,Hedehusene,12.1971176,55.6487219
Public Transport Stations,Lille Skensved,12.1404907,55.5114827
Public Transport Stations,Ruds Vedby,11.3751861,55.5398975
Public Transport Stations,Skellebjerg,11.4490950,55.5380698
Public Transport Stations,Vedde,11.5472374,55.5325286
Public Transport Stations,Tølløse,11.7732185,55.6119686
Public Transport Stations,Kirke Eskilstrup,11.7652686,55.5741487
Public Transport Stations,Store Merløse,11.7110174,55.5450353
Public Transport Stations,Bagmarken,11.6852970,55.5442784
Public Transport Stations,Nyrup,11.6525781,55.5423610
Public Transport Stations,Stenlille,11.5912253,55.5391527
Public Transport Stations,Lejre,11.9702792,55.6043364
Public Transport Stations,Vipperød,11.7388715,55.6670078
Public Transport Stations,Stenhus,11.6872483,55.7153208
Public Transport Stations,Regstrup,11.6125780,55.6774969
Public Transport Stations,Mørkøv,11.5021766,55.6545620
Public Transport Stations,Knabstrup,11.5538862,55.6648959
Public Transport Stations,Jyderup,11.3982482,55.6602985
Public Transport Stations,Hørve,11.4563649,55.7526175
Public Transport Stations,Ny Hagested,11.5943293,55.7287879
Public Transport Stations,Gislinge,11.5473031,55.7295576
Public Transport Stations,Svinninge,11.4678504,55.7234244
Public Transport Stations,Fårevejle,11.4698018,55.7882281
Public Transport Stations,Asnæs,11.4995742,55.8085770
Public Transport Stations,Grevinge,11.5513623,55.8030131
Public Transport Stations,Vig,11.5819286,55.8522077
Public Transport Stations,Nørre Asmindrup,11.6066198,55.8830623
Public Transport Stations,Sommerland Sjælland,11.6034977,55.8971898
Public Transport Stations,Højby Sjælland,11.6036380,55.9105729
Public Transport Stations,Nyled,11.6555929,55.9219566
Public Transport Stations,Dianalund,11.4996546,55.5339804
Public Transport Stations,Kratbjerg,12.3920470,55.9664199
Public Transport Stations,Snekkersten,12.5831746,56.0093169
Public Transport Stations,Lille Kregme,12.0342457,55.9465918
Public Transport Stations,Kregme,12.0465329,55.9349214
Public Transport Stations,Skævinge,12.1495823,55.9073352
Public Transport Stations,Brødeskov,12.2795272,55.8935491
Public Transport Stations,Hanehoved,12.0012103,55.9751010
Public Transport Stations,Hundested Havn,11.8465877,55.9657624
Public Transport Stations,Vibehus,11.8730926,55.9602162
Public Transport Stations,Østerbjerg,11.9136932,55.9767852
Public Transport Stations,Melby,11.9714130,55.9914330
Public Transport Stations,Firhøj,12.3564260,56.0982157
Public Transport Stations,Søborg,12.3338820,56.1005472
Public Transport Stations,Grimstrup,12.1021686,55.9157100
Public Transport Stations,København Syd,12.5161910,55.6526314
Public Transport Stations,Brøndbyøster,12.4410201,55.6650504
Public Transport Stations,Ålsgårde,12.5383162,56.0750002
Public Transport Stations,Hellebæk,12.5540236,56.0666162
Public Transport Stations,Marienlyst,12.6023376,56.0432857
Public Transport Stations,Helsingør,12.6131788,56.0328850
Public Transport Stations,Højstrup,12.5932509,56.0480848
Public Transport Stations,Glostrup,12.3987613,55.6630940
Public Transport Stations,Hvidovre,12.4750154,55.6644909
Public Transport Stations,Langgade,12.5040869,55.6673952
Public Transport Stations,Taastrup,12.3020940,55.6524851
Public Transport Stations,Albertslund,12.3537736,55.6581188
Public Transport Stations,Grubberholm,12.2015518,55.3801116
Public Transport Stations,Himlingøje,12.2155845,55.3724200
Public Transport Stations,Vallø,12.1920964,55.4001161
Public Transport Stations,Faxe Syd,12.1369368,55.2421522
Public Transport Stations,Tokkerup,12.1427304,55.2832781
Public Transport Stations,Karise,12.1956227,55.3070046
Public Transport Stations,Lille Linde,12.2192920,55.3365771
Public Transport Stations,Rødvig,12.3785917,55.2547634
Public Transport Stations,Varpelev,12.2796920,55.3524557
Public Transport Stations,Klippinge,12.3257058,55.3459800
Public Transport Stations,Wittdün Fähranleger,8.3965076,54.6290960
Public Transport Stations,Peter Bangs Vej,12.5036407,55.6780325
Public Transport Stations,Ørestad,12.5802183,55.6283839
Public Transport Stations,Tårnby,12.6015810,55.6297987
Public Transport Stations,Malmparken,12.3857045,55.7246625
Public Transport Stations,Horne,9.9725283,57.5593397
Public Transport Stations,Kvægtorvet,9.9760412,57.4545668
Public Transport Stations,Skarø Færgeleje,10.4728876,55.0111737
Public Transport Stations,Orø Havn,11.7996258,55.7552200
Public Transport Stations,Skærbæk,8.7715973,55.1587111
Public Transport Stations,Agersø Havn,11.1979678,55.2117735
Public Transport Stations,Gilleleje Øst,12.3091701,56.1225918
Public Transport Stations,Stigsnæs Havn,11.2444939,55.2129958
Public Transport Stations,Bækmarksbro,8.3081330,56.4119465
Public Transport Stations,Nørre Snede Rutebilstation,9.3933125,55.9661434
Public Transport Stations,Emmersbæk,9.9775439,57.5720644
Public Transport Stations,Lilleheden,9.9762793,57.5852735
Public Transport Stations,Glumsø,11.6963870,55.3523853
Public Transport Stations,Bonnet,8.2230460,56.5210031
Public Transport Stations,Hvalpsund-Sundsøre Færgefart,9.1917915,56.7003200
Public Transport Stations,Espergærde Station,12.5497608,55.9962961
Public Transport Stations,Outrup,8.3445313,55.7171893
Public Transport Stations,Grindsted Rutebilstation,8.9315056,55.7589942
Public Transport Stations,Holte St.,12.4692679,55.8078501
Public Transport Stations,Lindevang,12.5131859,55.6834487
Public Transport Stations,Aalestrup Busterminal,9.4955495,56.6950469
Public Transport Stations,Göteborgs central,11.9730036,57.7091812
Public Transport Stations,Næstved,11.7670814,55.2311888
Public Transport Stations,Bjerringbro,9.6584089,56.3741589
Public Transport Stations,Bollebygd station,12.5705223,57.6678211
Public Transport Stations,Sorø St.,11.5692900,55.4193618
Public Transport Stations,Sorø Baadfart,11.5633001,55.4199473
Public Transport Stations,Vallensbæk Station,12.3885964,55.6231303
Public Transport Stations,Lancken,13.6079330,54.5180206
Public Transport Stations,Strande,8.1602768,56.5690639
Public Transport Stations,Grenå - Anholt,10.9256382,56.4086507
Public Transport Stations,Holmstrup,10.2719151,55.3619633
Public Transport Stations,Bred,10.1058038,55.3732621
Public Transport Stations,Tommerup,10.1828194,55.3495891
Public Transport Stations,Ejby,9.9300034,55.4286740
Public Transport Stations,Vamdrup,9.2864145,55.4279941
Public Transport Stations,Kolding,9.4814404,55.4905542
Public Transport Stations,Sildfærgen,8.5703000,55.0862065
Public Transport Stations,Områdecenter Hedelund (Esbjerg),8.4959866,55.4888699
Public Transport Stations,Hinnerup,10.0595198,56.2630315
Public Transport Stations,Hobro,9.7823381,56.6431381
Public Transport Stations,Svenstrup,9.8561756,56.9720799
Public Transport Stations,Aakirkeby Terminalen,14.9131914,55.0724999
Public Transport Stations,Vrå,9.9421734,57.3547468
Public Transport Stations,Rønland,8.1947766,56.6567473
Public Transport Stations,Gråsten,9.5939371,54.9190195
Public Transport Stations,Tistrup,8.5983293,55.7167199
Public Transport Stations,Lundby,11.8694404,55.1102983
Public Transport Stations,Fredericia,9.7395230,55.5684379
Public Transport Stations,Vildsund Vest,8.6264271,56.8824490
Public Transport Stations,Hirtshals,9.9634184,57.5917049
Public Transport Stations,Helsingør-Helsingborg,12.6160047,56.0329460
Public Transport Stations,Herning Station,8.9774155,56.1338148
Public Transport Stations,Moheda,14.5764443,57.0024512
Public Transport Stations,Limmared,13.3537962,57.5362793
Public Transport Stations,Tranemo bussterminal,13.3515206,57.4851910
Public Transport Stations,Ulricehamn busstation,13.4116451,57.7938796
Public Transport Stations,Hillerød,12.3114140,55.9270287
Public Transport Stations,Allerød st.,12.3563603,55.8710098
Public Transport Stations,"Kokkedal st. Bus(150S,500S,377,384,95N)",12.5022195,55.9027239
Public Transport Stations,Lufthavnen (Metro),12.6492236,55.6309113
Public Transport Stations,Varde Kaserne,8.4721676,55.6120504
Public Transport Stations,Gnosjö station,13.7361448,57.3579196
Public Transport Stations,Lammhult,14.5855115,57.1715815
Public Transport Stations,Morsum,8.4337685,54.8721377
Public Transport Stations,Lunderskov,9.3040943,55.4803997
Public Transport Stations,Main Street,13.8309372,57.2625054
Public Transport Stations,Old Mexico,13.8389615,57.2631984
Public Transport Stations,Stockaryd,14.5916289,57.3164261
Public Transport Stations,Öresundslinjen,12.6097261,56.0296728
Public Transport Stations,Ballebro,9.6707708,54.9990072
Public Transport Stations,Borup Station,11.9722898,55.4940698
Public Transport Stations,Bredebro,8.8231512,55.0569560
Public Transport Stations,Bur,8.4279829,56.3677389
Public Transport Stations,Gårde,8.6115365,55.7652974
Public Transport Stations,Hee,8.2867545,56.1440538
Public Transport Stations,Hjerm,8.6398964,56.4388053
Public Transport Stations,Hjortshøj,10.2685378,56.2446348
Public Transport Stations,Jyderup St.,11.3992251,55.6600009
Public Transport Stations,Nivå st.,12.5058579,55.9340773
Public Transport Stations,"Banegårdspladsen, afsætning (Næstved St)",11.7655718,55.2321281
Public Transport Stations,Ringsted station,11.7852930,55.4386193
Public Transport Stations,Sig,8.5769413,55.6654375
Public Transport Stations,Tim,8.3057895,56.1953300
Public Transport Stations,Tureby,12.0760275,55.3734096
Public Transport Stations,Tølløse Station,11.7728615,55.6117882
Public Transport Stations,Ulstrup,9.7930525,56.3954985
Public Transport Stations,Varde Nord,8.5001359,55.6311845
Public Transport Stations,Vemb,8.3454452,56.3438706
Public Transport Stations,Viby Sjælland Station,12.0242095,55.5494528
Public Transport Stations,Bryggebroen,12.5688930,55.6619280
Public Transport Stations,Refshaleøen,12.6071292,55.6909228
Public Transport Stations,Vestamager,12.5755841,55.6193710
Public Transport Stations,Napstjert,10.4083168,57.5545542
Public Transport Stations,Svendborg-Hjortø,10.6146214,55.0577696
Public Transport Stations,Ordrup,12.5835616,55.7628994
Public Transport Stations,Kokkedal,12.5024245,55.9032608
Public Transport Stations,Dyssekilde,11.9427382,55.9854238
Public Transport Stations,Godhavn,12.0972072,56.0599174
